rank,team_name,avatar_url,highest_kaggle_rank,score,submit_times,last_submit
1,Electric Weasle,https://storage.googleapis.com/kaggle-avatars/thumbnails/69150-kg.jpg?t=2023-10-24-20-21-56,contributor,0.25,10,3d
2,Ahmed Mahmoud Salem,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,12,6d
3,Dmitriy Guller,https://storage.googleapis.com/kaggle-avatars/thumbnails/217822-kg.png,master,0.25,6,10d
4,FabienPv,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,13,8d
5,지스트파이팅,https://storage.googleapis.com/kaggle-avatars/thumbnails/17050265-kg.jpg?t=2023-11-28-17-22-02,contributor,0.25,17,5d
6,ZhuJingnan,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,22,8d
7,Sebastian Dirndorfer,https://storage.googleapis.com/kaggle-avatars/thumbnails/7341746-kg.jpg,contributor,0.25,17,7d
8,Sercan Yeşilöz,https://storage.googleapis.com/kaggle-avatars/thumbnails/2926451-kg.jpg,master,0.25,45,6d
9,Jorge López,https://storage.googleapis.com/kaggle-avatars/thumbnails/16445855-kg.jpg?t=2023-10-16-14-11-08,contributor,0.25,19,7d
10,aldparis,https://storage.googleapis.com/kaggle-avatars/thumbnails/275525-kg.jpg,expert,0.25,4,6d
11,Yan Teixeira,https://storage.googleapis.com/kaggle-avatars/thumbnails/13062964-kg.jpeg,expert,0.25,47,1d
12,Hardy Xu,https://storage.googleapis.com/kaggle-avatars/thumbnails/420768-fb.jpg,contributor,0.25,25,14h
13,Just4Fun,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,17,5d
14,Laurent Pourchot,https://storage.googleapis.com/kaggle-avatars/thumbnails/6191256-kg.jpg,master,0.25,37,5d
15,SGMA1024,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,24,5d
16,SGMACPY,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,11,5d
17,Oscar Aguilar,https://storage.googleapis.com/kaggle-avatars/thumbnails/1822542-kg.jpg,master,0.25,52,3d
18,paddykb,https://storage.googleapis.com/kaggle-avatars/thumbnails/175917-kg.jpg,master,0.25,1,5d
19,Daniel Popov,https://storage.googleapis.com/kaggle-avatars/thumbnails/5394137-kg.png?t=2023-11-11-07-58-38,contributor,0.25,55,5d
20,HAFIZ MUHAMMAD IMRAN KHAN,https://storage.googleapis.com/kaggle-avatars/thumbnails/4461810-kg.jpg?t=2023-11-18-13-15-56,contributor,0.25,14,5d
21,BrainAI_hwlee,https://storage.googleapis.com/kaggle-avatars/thumbnails/11320172-kg.jpg,contributor,0.25,32,4d
22,Agnieszka Ziegert,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,1,5d
23,Maher el Ouahabi,https://storage.googleapis.com/kaggle-avatars/thumbnails/4696479-kg.jpg,expert,0.25,7,5d
24,xy,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,5,5d
25,Anil Yagiz,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,5,5d
26,Chinaski,https://storage.googleapis.com/kaggle-avatars/thumbnails/5730174-kg.jpg,expert,0.25,34,3d
27,JATIN CHAWDA,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,27,4d
28,blameitonthemoon,https://storage.googleapis.com/kaggle-avatars/thumbnails/17331874-kg.jpg?t=2023-11-24-09-28-57,contributor,0.25,4,5d
29,google-pirates,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,27,5d
30,OminousDude,https://storage.googleapis.com/kaggle-avatars/thumbnails/8531166-kg.png?t=2023-10-18-15-24-52,contributor,0.25,59,2d
31,t_murmt,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,13,4d
32,bestwater,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,63,7h
33,e_landeros,https://storage.googleapis.com/kaggle-avatars/thumbnails/859488-kg.jpeg,expert,0.25,18,4d
34,Hanzhang Fang,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,5,4d
35,Mansour,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,63,2d
36,Ale uy,https://storage.googleapis.com/kaggle-avatars/thumbnails/2708643-kg.JPG?t=2023-09-29-14-34-01,expert,0.25,66,1d
38,Jimin Wang,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,22,4d
39,Ravi Ramakrishnan,https://storage.googleapis.com/kaggle-avatars/thumbnails/8273630-kg.jpg,grand master,0.25,27,4d
40,higo_DM2,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,22,4d
41,Mandritsa Mikhail,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,29,4d
42,musioy,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,23,4d
43,Sang Nguyen,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,4,4d
45,YangAoTian,https://storage.googleapis.com/kaggle-avatars/thumbnails/10594563-kg.jpg?t=2023-11-26-07-28-12,contributor,0.25,69,3d
46,MAOK-Yongsuk,https://storage.googleapis.com/kaggle-avatars/thumbnails/12106969-kg.png,expert,0.25,31,4d
47,tuttiii,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,5,4d
48,Hamachi,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,57,6h
49,qpuch,https://storage.googleapis.com/kaggle-avatars/thumbnails/15903948-kg.jpg?t=2023-11-24-01-37-39,novice,0.25,10,4d
50,Den TTT,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,1,4d
51,Sreya reddy,https://storage.googleapis.com/kaggle-avatars/thumbnails/5237096-kg.jpg,contributor,0.25,3,4d
52,Eishkaran Singh,https://storage.googleapis.com/kaggle-avatars/thumbnails/12605415-kg.jpeg,master,0.25,8,4d
53,HaoQingSong,https://storage.googleapis.com/kaggle-avatars/thumbnails/9506739-kg.jpg,contributor,0.25,7,4d
54,Shane Simon,https://storage.googleapis.com/kaggle-avatars/thumbnails/12236136-kg.jpg?t=2023-10-08-11-51-35,expert,0.25,50,4d
56,pc1975,https://storage.googleapis.com/kaggle-avatars/thumbnails/4701119-kg.jpeg,contributor,0.25,4,3d
57,Neha,https://storage.googleapis.com/kaggle-avatars/thumbnails/4393104-kg.jpg,contributor,0.25,12,4d
58,kgrou0,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,5,4d
59,norm,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,14,3d
60,FanshuoZeng,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,5,4d
61,Ryo Asashi,https://storage.googleapis.com/kaggle-avatars/thumbnails/4701871-kg.jpg,expert,0.25,6,3d
62,Mateusz Kowalczyk,https://storage.googleapis.com/kaggle-avatars/thumbnails/13251128-kg.jpg?t=2023-09-20-14-11-06,master,0.25,15,4d
63,AbduIIah AItay,https://storage.googleapis.com/kaggle-avatars/thumbnails/5007706-kg.jpg,contributor,0.25,12,4d
64,xiaomo k,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,7,4d
65,rockieCao,https://storage.googleapis.com/kaggle-avatars/thumbnails/501321-kg.png?t=2023-10-24-21-14-06,contributor,0.25,32,1d
66,Rique,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,9,4d
67,Cards,https://storage.googleapis.com/kaggle-avatars/thumbnails/4398416-kg.jpg,expert,0.25,15,3d
68,Sarun P M,https://storage.googleapis.com/kaggle-avatars/thumbnails/17084120-kg.jpeg?t=2023-10-10-05-25-02,contributor,0.25,22,20h
69,Ethan S. Lee,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,1,3d
70,Alex Dstory,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,14,2d
71,Ludus Magnus,https://storage.googleapis.com/kaggle-avatars/thumbnails/4965276-kg.jpg,expert,0.25,30,3d
72,Jotaro,https://storage.googleapis.com/kaggle-avatars/thumbnails/1068780-gr.jpg,contributor,0.25,3,3d
73,Edgar,https://storage.googleapis.com/kaggle-avatars/thumbnails/392856-gr.jpg,novice,0.25,52,1d
74,CheeseGue,https://storage.googleapis.com/kaggle-avatars/thumbnails/15931444-kg.png?t=2023-11-29-07-31-59,novice,0.25,7,3d
75,Carryou,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,1,3d
76,JunsuJeong,https://storage.googleapis.com/kaggle-avatars/thumbnails/4329379-kg.jpg?t=2023-12-01-04-38-52,contributor,0.25,40,2d
77,Semih Günak,https://storage.googleapis.com/kaggle-avatars/thumbnails/15714431-kg.jpg?t=2023-10-23-11-26-37,expert,0.25,7,3d
78,Satya,https://storage.googleapis.com/kaggle-avatars/thumbnails/8185869-kg.jpg?t=2023-10-07-12-43-03,master,0.25,50,3d
79,Mathurin Aché,https://storage.googleapis.com/kaggle-avatars/thumbnails/18463-kg.png,grand master,0.25,19,3d
80,Spiritmilk,https://storage.googleapis.com/kaggle-avatars/thumbnails/8060745-kg.jpg,expert,0.25,5,3d
81,Syed Subahani,https://storage.googleapis.com/kaggle-avatars/thumbnails/16365312-kg.jpg?t=2023-11-15-17-26-22,contributor,0.25,23,1d
82,M V Vignesh,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,2,3d
83,🇵🇸 Morpheus 🇵🇸,https://storage.googleapis.com/kaggle-avatars/thumbnails/16658462-kg.jpeg?t=2023-11-11-06-28-12,contributor,0.25,5,3d
84,Deepika Chavan,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,2,3d
85,mexwell,https://storage.googleapis.com/kaggle-avatars/thumbnails/3952497-kg.jpeg?t=2023-09-10-11-32-10,expert,0.25,7,3d
86,Izzan S. A.,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,6,3d
87,Amihua,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,8,3d
88,Dominique Hummel,https://storage.googleapis.com/kaggle-avatars/thumbnails/17787195-gr.jpg,novice,0.25,19,3d
89,Fengqian,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,28,3d
90,Evseev Sergey,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,16,2d
91,jacob millet,https://storage.googleapis.com/kaggle-avatars/thumbnails/14651827-kg.png?t=2023-11-25-11-46-33,contributor,0.25,33,2d
92,Nembot Jules,https://storage.googleapis.com/kaggle-avatars/thumbnails/11167185-kg.jpg,contributor,0.25,30,2d
93,Plus Pals,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.25,2,3d
94,tdoh86,https://storage.googleapis.com/kaggle-avatars/thumbnails/8063636-kg.jpg,contributor,0.25,29,2d
95,Shivam,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,18,3h
96,Wahyu Surya Dharma,https://storage.googleapis.com/kaggle-avatars/thumbnails/1053098-kg.jpg,contributor,0.25,2,3d
97,Anushka Chathuranga,https://storage.googleapis.com/kaggle-avatars/thumbnails/6660933-kg.jpg,contributor,0.25,13,3d
98,Demian2435,https://storage.googleapis.com/kaggle-avatars/thumbnails/16101251-gr.jpg,contributor,0.25,32,3d
99,Lucas Rathgeb,https://storage.googleapis.com/kaggle-avatars/thumbnails/13404120-kg.jpeg,contributor,0.25,43,2d
100,Vadim Fedorov,https://storage.googleapis.com/kaggle-avatars/thumbnails/1540171-kg.jpg?t=2023-10-04-15-45-05,contributor,0.25,19,3d
101,Maksym Kryvenko,https://storage.googleapis.com/kaggle-avatars/thumbnails/10320886-kg.png?t=2023-09-02-21-04-12,novice,0.25,3,3d
102,Briyas,https://storage.googleapis.com/kaggle-avatars/thumbnails/9999810-kg.JPG,novice,0.25,1,3d
103,Sri Harsha Eedala,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,3,2d
104,Octavio Grau,https://storage.googleapis.com/kaggle-avatars/thumbnails/6673300-kg.jpg?t=2023-11-10-19-04-03,expert,0.25,6,3d
105,AKSHAT SHAW,https://storage.googleapis.com/kaggle-avatars/thumbnails/15730851-kg.jpg?t=2023-11-28-20-42-56,contributor,0.25,2,3d
106,Islam Tlupov,https://storage.googleapis.com/kaggle-avatars/thumbnails/3435682-kg.jpg,contributor,0.25,1,3d
